; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065362432,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1546522880,"CurrentTimeLocal","Thu Jan  3 05:41:20 2019","Hostname","nid01430","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7e-05
; "Time_ContextDestroy [ms]", 3.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,0,0,"Warmup",0.004646,0.636062,0.541096,1.289251,0.28925,0.180177,0.240569,0.569494,3.751302,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,1,0,"Warmup",0.005156,0.620445,0.538463,1.291775,0.291218,0.180731,0.241227,0.561125,3.730922,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,2,0,"Success",0.00519,0.659857,0.534087,1.324017,0.2898,0.18146,0.240602,0.582649,3.81833,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,3,0,"Success",0.005201,0.614532,0.56177,1.287536,0.28772,0.180055,0.240946,0.558061,3.736403,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,4,0,"Success",0.005273,0.643594,0.545266,1.278483,0.291218,0.182414,0.241149,0.570874,3.758952,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,5,0,"Success",0.005156,0.622454,0.555429,1.291109,0.291432,0.179923,0.241002,0.587245,3.774391,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,6,0,"Success",0.006303,0.622848,0.531228,1.279668,0.289385,0.181706,0.241007,0.56448,3.71729,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,7,0,"Success",0.005218,0.653583,0.536627,1.286868,0.290438,0.18102,0.240777,0.570779,3.765996,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,8,0,"Success",0.005127,0.617082,0.55237,1.309024,0.289205,0.18155,0.240272,0.557636,3.752942,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,9,0,"Success",0.005239,0.643633,0.537763,1.296322,0.291526,0.179949,0.24069,0.578366,3.774243,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,10,0,"Success",0.005501,0.598788,0.538725,1.286122,0.290719,0.182442,0.24122,0.558868,3.70291,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",262144,0,0,11,0,"Success",0.00537,0.629157,0.539933,1.286472,0.287938,0.181739,0.2405,0.565598,3.737258,2097168,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,0,0,"Warmup",0.008857,0.623423,0.54224,1.367813,8.236056,0.191183,0.232448,0.759325,11.961998,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,1,0,"Warmup",0.0097,0.608898,0.545101,1.372854,8.011101,0.189386,0.232929,0.754464,11.725226,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,2,0,"Success",0.009786,0.603214,0.54385,1.336154,7.427487,0.189971,0.232125,0.750715,11.093846,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,3,0,"Success",0.009803,0.635955,0.534629,1.315826,7.888005,0.188916,0.233236,0.756076,11.563119,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,4,0,"Success",0.009797,0.620997,0.552945,1.360797,7.947798,0.190652,0.232532,0.76112,11.677424,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,5,0,"Success",0.010163,0.646817,0.550158,1.336302,7.945518,0.191253,0.231835,0.743839,11.656518,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,6,0,"Success",0.010846,0.626229,0.549801,1.361554,7.718133,0.191387,0.229971,0.771149,11.459965,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,7,0,"Success",0.009859,0.622752,0.522881,1.345139,8.444509,0.191338,0.228529,0.751772,12.117287,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,8,0,"Success",0.010021,0.626284,0.53745,1.354871,8.151376,0.192226,0.228549,0.75306,11.854378,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,9,0,"Success",0.010883,0.611717,0.533632,1.380491,8.226201,0.195062,0.227705,0.747986,11.934338,4194320,0,2097152,2.7755628555e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",262144,0,0,10,0,"Success",0.009716,0.614205,0.542853,1.352284,8.00277,0.193091,0.228184,0.748363,11.692105,4194320,0,2097152,2.7755628555e-17,0
