; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721379,"CurrentTimeLocal","Tue Sep 11 20:02:59 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00015
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000142,0.346716,0.321635,0.000131,0.00124,0.000873,6.4e-05,0.000875,0.672073,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000114,0.319099,0.305669,9e-05,0.000482,0.000319,3.6e-05,0.000551,0.626634,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000131,0.317245,0.30412,8.8e-05,0.000435,0.000314,3.7e-05,0.000563,0.623189,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000154,0.316575,0.304585,6.6e-05,0.000468,0.00033,3.8e-05,0.000589,0.623049,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000132,0.317331,0.329619,0.0001,0.000505,0.000353,3.7e-05,0.000536,0.648886,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.00014,0.315641,0.304776,0.000101,0.000468,0.000317,3.5e-05,0.00056,0.622305,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000138,0.317331,0.305083,8.7e-05,0.000452,0.000317,3.8e-05,0.000493,0.624245,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000156,0.315626,0.304109,7.1e-05,0.000466,0.000319,3.9e-05,0.00048,0.621521,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000138,0.31688,0.304816,8.7e-05,0.000443,0.000296,3.5e-05,0.00052,0.623519,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000157,0.315743,0.305248,8.9e-05,0.000456,0.00032,2.4e-05,0.000526,0.622885,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000131,0.314959,0.304375,7.2e-05,0.000443,0.00031,3e-05,0.000602,0.621204,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000147,0.315079,0.31727,8.6e-05,0.000466,0.000312,2e-05,0.000633,0.634328,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.005609,4.717599,4.097962,0.000326,0.254436,0.072377,0.000616,0.073885,9.223451,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.005672,4.649292,4.011472,0.000284,0.266806,0.084892,0.000539,0.082514,9.10205,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.005707,4.635045,4.034618,0.000326,0.313801,0.0735,0.000435,0.071257,9.135353,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.005734,4.662134,4.031984,0.000345,0.271322,0.07711,0.000618,0.073638,9.123553,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.005565,4.608346,4.100792,0.000313,0.307137,0.087923,0.000539,0.073658,9.184808,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.005556,4.675091,4.037522,0.000333,0.322334,0.073989,0.000508,0.074993,9.190993,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.005625,4.683461,4.047138,0.000316,0.28851,0.074887,0.000482,0.073164,9.174158,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.005487,4.675007,4.065787,0.000293,0.271198,0.075305,0.000456,0.072863,9.167135,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.006342,4.739104,4.077925,0.00034,0.256064,0.074256,0.000542,0.072868,9.227944,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.005643,4.702538,4.033288,0.000287,0.263957,0.073695,0.00082,0.072685,9.15356,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.005601,4.692353,4.031465,0.000291,0.257702,0.091882,0.000518,0.07416,9.15445,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.005623,4.622369,4.031604,0.000318,0.237649,0.078644,0.000605,0.073514,9.050817,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.005343,50.746959,50.890104,0.00447,0.371288,0.172944,0.008152,0.435007,102.634826,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.005386,50.620962,50.813114,0.004586,0.356032,0.174221,0.007456,0.459203,102.441596,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.005356,50.679955,50.981759,0.004469,0.400479,0.169537,0.007804,0.451088,102.700933,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.00532,50.536036,51.588662,0.004451,0.36998,0.176206,0.008245,0.443261,103.132685,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.006472,51.52118,50.864659,0.004446,0.376573,0.169314,0.007983,0.431816,103.382979,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.00537,50.764786,50.800322,0.004464,0.416984,0.201006,0.007778,0.438475,102.639856,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.005394,50.732087,51.292286,0.004351,0.421711,0.184651,0.007098,0.415648,103.06375,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.005341,51.522799,51.03255,0.004466,0.375559,0.175176,0.008253,0.445915,103.570661,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.005383,50.569206,50.802927,0.004538,0.456983,0.170562,0.007384,0.430963,102.448468,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.005382,50.984698,50.922802,0.004524,0.379239,0.176512,0.007676,0.433612,102.914956,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.005404,51.719203,51.31638,0.004478,0.39435,0.178348,0.008492,0.435528,104.062679,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.005449,50.630527,51.495969,0.004473,0.384622,0.189709,0.007781,0.437147,103.156507,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.009994,67.516389,67.339737,0.117774,1.142408,0.903904,0.140318,0.755722,137.926868,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.005516,67.169892,67.448821,0.083112,1.117848,0.892023,0.139754,0.779158,137.636735,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.005568,66.644806,66.984387,0.083359,1.158423,0.903258,0.140194,0.753609,136.674417,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.005587,66.608561,68.928791,0.082584,1.17192,0.888886,0.139962,0.76732,138.594255,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.005629,66.577249,66.865658,0.082509,1.153858,0.888038,0.139029,0.765182,136.477794,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.00556,67.186583,69.037315,0.082414,1.121897,0.892638,0.140086,0.775188,139.242245,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.005568,66.730105,67.04568,0.083072,1.183124,0.898785,0.139233,0.750385,136.836525,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.00686,66.601262,68.1838,0.082761,1.142184,0.887679,0.140333,0.763981,137.809437,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.005544,66.597061,67.82813,0.083645,1.137355,0.901514,0.139915,0.780204,137.474064,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.005607,67.468952,67.152293,0.082453,1.154418,0.893201,0.140748,0.758364,137.656692,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.005623,68.901492,67.67493,0.084206,1.114499,0.894932,0.140399,0.778127,139.594876,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.005569,66.742019,66.878739,0.082389,1.157525,0.890346,0.140138,0.764629,136.662051,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.00392,146.838038,125.367167,2.441415,20.385625,19.335574,2.436867,0.600713,317.410001,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.004096,136.567472,124.152149,2.368134,20.187216,19.364609,2.497403,0.598026,305.739812,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.00402,136.045321,125.441115,2.370639,20.414796,19.467258,2.528192,0.667745,306.939917,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.00494,137.528108,125.302708,2.370337,20.018285,19.255833,2.50475,0.609216,307.594748,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.003953,135.916246,123.629619,2.338648,20.268444,19.448245,2.540386,0.602135,304.74838,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.004048,136.07559,123.999006,2.368787,20.304676,19.420129,2.508153,0.605976,305.28698,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.00494,136.367276,124.962975,2.353478,20.356778,19.31651,2.524184,0.599023,306.485814,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.004153,135.841705,123.719244,2.35147,20.321428,19.315926,2.519291,0.608524,304.682536,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.00409,136.971351,123.937328,2.354498,20.222941,19.425123,2.563741,0.599898,306.079749,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.004836,137.592853,125.011039,2.389161,20.326042,19.595015,2.479138,0.597071,307.995798,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.003965,136.77286,124.023031,2.34558,20.273251,19.379365,2.511185,0.613469,305.923368,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.004018,136.044536,123.705666,2.393716,20.342853,19.263257,2.471876,0.626619,304.853273,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000145,0.01563,0.010816,8.1e-05,0.000169,4.9e-05,2.7e-05,0.000398,0.027587,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.000124,0.016919,0.011716,7.1e-05,0.000188,4.6e-05,3.1e-05,0.000402,0.029752,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000153,0.017236,0.01185,5.9e-05,0.000175,5.6e-05,3.2e-05,0.00044,0.03032,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000131,0.016852,0.011794,9.6e-05,0.000191,7.3e-05,1.7e-05,0.000406,0.029867,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000149,0.016971,0.012254,8.5e-05,0.000173,4.6e-05,3.1e-05,0.000452,0.030441,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000145,0.016917,0.011801,8.3e-05,0.000165,4.9e-05,2e-05,0.000403,0.029873,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000139,0.015603,0.01096,8e-05,0.000182,5.9e-05,2.4e-05,0.000426,0.027712,32,0,32,0,0
