; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721661,"CurrentTimeLocal","Tue Sep 11 20:07:41 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 4.6e-05
; "Time_ContextDestroy [ms]", 8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000515,0.008274,0.00253,0.000127,0.000752,0.000436,6.4e-05,0.001887,0.014904,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000438,0.003189,0.001741,7e-05,0.000314,0.000241,5.9e-05,0.001418,0.007729,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000328,0.003015,0.001734,7.6e-05,0.00026,0.000226,4.7e-05,0.00139,0.007342,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.000357,0.003013,0.001755,7e-05,0.00024,0.000214,4.5e-05,0.001392,0.007345,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000342,0.002962,0.001741,6.8e-05,0.000263,0.00021,4.6e-05,0.001387,0.007272,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000353,0.002938,0.001728,6.1e-05,0.000248,0.000205,4.6e-05,0.00139,0.007233,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.000338,0.003024,0.001738,6.6e-05,0.00024,0.000205,3.6e-05,0.00138,0.007274,152,0,152,2.8119781172e-08,0
