; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536875344,"CurrentTimeLocal","Thu Sep 13 14:49:04 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00023
; "Time_ContextDestroy [ms]", 0.00025
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.0015,1.57845,1.430497,0.00096,0.00322,0.00143,0.00014,0.00271,3.021608,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.0012,1.61657,1.384538,0.00075,0.00317,0.00143,0.00024,0.00306,3.013378,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.0012,1.506339,1.342457,0.00089,0.00314,0.00143,0.00024,0.00282,2.861696,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.00121,1.486399,1.417637,0.00099,0.00329,0.00142,0.00014,0.0025,2.915826,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.00137,1.57005,1.310526,0.00094,0.002801,0.00142,0.00014,0.00293,2.892427,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.0012,1.467948,1.421538,0.00102,0.00312,0.00152,0.00025,0.00343,2.902486,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.0012,1.57909,1.315026,0.00093,0.00303,0.00152,0.00024,0.002471,2.905987,152,0,152,1.6170287443e-08,0
