; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536876047,"CurrentTimeLocal","Thu Sep 13 15:00:47 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00028
; "Time_ContextDestroy [ms]", 0.00028
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.02282,0.440296,0.328554,0.00129,0.00298,0.00215,0.00016,0.474616,1.275416,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.01778,0.328944,0.281124,0.00109,0.00281,0.00174,0.00016,0.464486,1.100024,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.01643,0.324464,0.275934,0.00058,0.00275,0.00179,0.00016,0.461486,1.085734,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.0211,0.402795,0.346814,0.00109,0.00365,0.00255,0.00027,0.535316,1.316806,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.02304,0.406605,0.304854,0.00114,0.00289,0.00192,0.00016,0.472826,1.216095,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.016651,0.328244,0.334574,0.00152,0.00319,0.00203,0.00017,0.462806,1.151205,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.016861,0.324994,0.276693,0.00075,0.00271,0.00183,0.00016,0.461046,1.086944,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.01608,0.323064,0.275974,0.00054,0.00262,0.00176,0.00016,0.461046,1.083124,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.01485,0.314284,0.362885,0.0009,0.00366,0.00234,0.00018,0.518426,1.219765,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.02287,0.404035,0.347574,0.001161,0.00335,0.00267,0.00024,0.527716,1.312666,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.018631,0.327354,0.277253,0.00094,0.00301,0.0018,0.00016,0.465996,1.097404,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.0204,0.394895,0.283303,0.00119,0.00285,0.00199,0.00016,0.477606,1.184574,152,0,152,5.2390545829e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.02022,0.550527,0.444926,0.00255,0.06019,0.036571,0.00072,0.622208,1.740592,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.02229,0.473616,0.359014,0.00211,0.028441,0.02613,0.00043,0.534907,1.448968,2888,0,2888,1.1421735147e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.01706,0.470016,0.435916,0.0027,0.03594,0.03344,0.00055,0.539467,1.537279,2888,0,2888,1.1421735147e-07,0
