; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Warmup",0.000121,0.345359,0.312014,0.000121,0.001152,0.000888,6.4e-05,0.000766,0.660862,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Warmup",0.000143,0.319713,0.296885,8.6e-05,0.00052,0.000319,2.3e-05,0.000593,0.618529,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.00013,0.309978,0.295513,8.6e-05,0.000492,0.000318,3.1e-05,0.000481,0.607325,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.000142,0.309325,0.296294,5e-05,0.000494,0.000322,2e-05,0.000476,0.60744,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.000146,0.309699,0.296392,6e-05,0.000496,0.000314,3.7e-05,0.000532,0.607993,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.000131,0.309032,0.296064,4.2e-05,0.00048,0.000297,3.5e-05,0.000505,0.606823,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.00015,0.309499,0.295442,7.5e-05,0.000504,0.000305,3.5e-05,0.000531,0.606758,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.000148,0.309223,0.296779,6.3e-05,0.000496,0.000311,1.9e-05,0.000557,0.607837,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.000145,0.316324,0.29716,7.6e-05,0.000524,0.000323,2e-05,0.000511,0.615324,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.00013,0.309531,0.2964,6e-05,0.000487,0.000305,3.2e-05,0.000551,0.60774,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,68,"Success",0.000139,0.308689,0.295626,6.1e-05,0.000473,0.000318,3e-05,0.000545,0.6061,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,68,"Success",0.000129,0.308803,0.296188,7.2e-05,0.000465,0.000313,3.1e-05,0.000506,0.606739,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Warmup",0.005316,4.603949,3.916335,0.00028,0.261408,0.064097,0.000592,0.065578,8.918123,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Warmup",0.005355,4.493592,3.959233,0.000258,0.306418,0.063136,0.000422,0.065582,8.894592,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.005425,4.545066,3.901932,0.000292,0.254189,0.065066,0.000413,0.066682,8.83968,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.005341,4.459648,3.958667,0.000276,0.23715,0.063308,0.0005,0.065994,8.791449,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.005404,4.524155,3.88335,0.000288,0.255521,0.066403,0.000469,0.066175,8.80229,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.005489,4.527604,3.901472,0.000249,0.214162,0.072219,0.000596,0.068081,8.790457,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.00533,4.57516,3.88816,0.000269,0.225633,0.071361,0.000597,0.075661,8.842618,2888,0,2888,5.2805092824e-08,0
