; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101216694272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537668574,"CurrentTimeLocal","Sat Sep 22 19:09:34 2018","Hostname","nid03440","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00023
; "Time_ContextDestroy [ms]", 0.00022
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Warmup",0.00107,1.543968,1.511519,0.00103,0.00362,0.00144,0.00024,0.0029,3.068967,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Warmup",0.00122,1.510118,1.347518,0.00102,0.00321,0.00157,0.00029,0.00347,2.870696,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.00108,1.484088,1.409848,0.00124,0.0032,0.00153,0.00029,0.0026,2.906636,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.00106,1.539618,1.309758,0.00098,0.00299,0.00147,0.00019,0.00264,2.861176,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.00123,1.457818,1.397758,0.00109,0.00291,0.00142,0.00029,0.00268,2.867416,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.00126,1.542008,1.300458,0.00093,0.00293,0.00143,0.00018,0.00239,2.853726,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.0015,1.459418,1.303378,0.00102,0.00265,0.00155,0.00028,0.00239,2.774806,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.00113,1.457638,1.407888,0.00107,0.00336,0.00145,0.00029,0.00306,2.878536,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.00122,1.476488,1.304168,0.00108,0.00282,0.00154,0.0003,0.00256,2.792256,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.00117,1.446838,1.402008,0.00107,0.00295,0.00142,0.0003,0.00286,2.861016,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,10,68,"Success",0.00107,1.525448,1.290448,0.00101,0.00291,0.00146,0.00015,0.00244,2.827226,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",19,0,0,11,68,"Success",0.00097,1.442228,1.287148,0.00106,0.00299,0.00158,0.0003,0.00232,2.740806,152,0,152,1.6170287443e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Warmup",0.03468,57.744889,59.424286,0.00255,1.550298,0.42167,0.00268,1.359398,120.545691,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Warmup",0.03556,57.952349,59.262056,0.00241,1.614278,0.42513,0.00335,1.228988,120.528991,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.0361,57.884869,59.258936,0.00248,1.843308,0.42411,0.00366,1.067058,120.525881,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.03537,58.274458,59.414596,0.00256,1.790658,0.42921,0.003169,1.246159,121.20138,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.04168,58.135848,60.091646,0.00254,1.863157,0.41786,0.00351,1.249728,121.810979,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.03971,58.065488,59.529126,0.00237,1.518088,0.42598,0.00286,1.407718,120.99663,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.03668,58.379378,59.513806,0.00253,1.625558,0.42401,0.0034,1.340948,121.33146,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,7,69,"Success",0.045,58.145798,59.349177,0.00266,1.648008,0.432759,0.00293,1.253949,120.884751,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,8,69,"Success",0.01818,57.177889,59.538617,0.00248,17.362598,0.42368,0.00308,1.249768,135.780902,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,9,69,"Success",0.04157,58.100839,59.347726,0.00261,1.491798,0.40932,0.00319,1.164308,120.567401,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,10,69,"Success",0.03576,58.006488,59.139787,0.00244,1.681398,0.420889,0.00343,1.231459,120.526411,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",361,0,0,11,69,"Success",0.03144,59.725146,59.705596,0.00262,1.575118,0.439099,0.00321,1.179189,122.666588,2888,0,2888,5.2805092824e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,0,70,"Warmup",0.03147,599.989168,631.675769,0.01235,35.122437,0.680459,0.01656,4.581784,1272.114917,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,1,70,"Warmup",0.03042,598.525419,631.45394,0.01208,2.152037,0.666339,0.01717,4.269485,1237.13188,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,2,70,"Success",0.03232,599.376309,632.697198,0.01194,41.313779,0.689559,0.01465,4.372624,1278.513489,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,3,70,"Success",0.028,600.305538,633.836686,0.0118,60.588495,8.27457,0.01754,4.414585,1307.482154,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,4,70,"Success",0.03066,600.144188,635.510745,0.01217,55.812211,0.701109,0.0219,4.289734,1296.527717,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,5,70,"Success",0.02683,597.920121,634.532556,0.01227,56.50339,0.668739,0.01514,4.433395,1294.118451,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,6,70,"Success",0.02973,598.72265,634.184197,0.01178,62.387212,42.882808,0.01578,4.190754,1342.430271,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,7,70,"Success",0.027949,600.123579,635.680225,0.01204,39.85163,0.68333,0.01824,4.066175,1280.468268,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,8,70,"Success",0.02663,599.888488,634.423767,0.01209,65.401059,0.819109,0.01509,4.401044,1304.992927,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,9,70,"Success",0.03027,600.993167,634.519067,0.01194,39.241831,0.684299,0.01556,4.538605,1280.039499,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,10,70,"Success",0.03219,600.482219,634.728477,0.01182,36.133925,0.688689,0.02155,4.644775,1276.749004,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",6859,0,0,11,70,"Success",0.03119,602.138297,636.004954,0.01207,37.518544,0.678229,0.01658,4.562664,1280.967728,54872,0,54872,5.7146074527e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Warmup",0.03512,1231.937943,1320.527254,0.16833,66.235068,61.256905,0.23417,15.262421,2695.664101,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,71,"Warmup",0.03467,1255.469914,1336.169245,0.19135,66.752248,19.405276,0.239,15.228431,2693.496954,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,71,"Success",0.03578,1225.678042,1289.947733,0.193689,66.325869,20.996954,0.23992,14.196182,2617.621709,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,71,"Success",0.03478,1229.680117,1302.348518,0.196049,73.39897,4.168945,0.23842,14.619422,2624.693091,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,71,"Success",0.034099,1259.261562,1334.551469,0.195549,8.22858,4.179405,0.23883,15.632761,2622.329725,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,71,"Success",0.03403,1251.961881,1323.680513,0.196609,9.472339,4.151845,0.238469,15.558331,2605.301047,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,71,"Success",0.03332,1258.412743,1336.920667,0.19629,67.693947,68.779205,0.23479,15.94992,2748.227912,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,71,"Success",0.0326,1231.450557,1322.622225,0.19637,63.031082,27.084067,0.23594,14.244752,2658.905113,1042568,0,1042568,6.4662461083e-08,0
