; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537608790,"CurrentTimeLocal","Sat Sep 22 02:33:10 2018","Hostname","nid01287","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 8.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000148,0.001535,0.000624,6e-05,7.1e-05,5.8e-05,1.9e-05,0.000911,0.003596,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00016,0.001621,0.00068,5.6e-05,5.3e-05,5.6e-05,1.4e-05,0.000956,0.003797,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000165,0.001618,0.00071,7.1e-05,6.4e-05,7e-05,2.7e-05,0.000992,0.003881,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000173,0.001636,0.000681,7.1e-05,6.5e-05,6.8e-05,2.7e-05,0.000952,0.003829,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000139,0.001604,0.000694,6e-05,4.8e-05,5.9e-05,1.5e-05,0.000966,0.003819,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000151,0.001628,0.000685,7.2e-05,6.5e-05,6.6e-05,2.7e-05,0.001021,0.003858,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.00014,0.001638,0.00071,5.9e-05,5.4e-05,5.7e-05,1.6e-05,0.000963,0.003845,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000151,0.001637,0.000687,7.2e-05,4.9e-05,7e-05,1.4e-05,0.000971,0.003828,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000153,0.001615,0.000686,5.9e-05,5.3e-05,6.9e-05,2.6e-05,0.000968,0.003817,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000154,0.001601,0.000681,7.2e-05,5e-05,6.9e-05,1.5e-05,0.001015,0.003857,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000153,0.001638,0.000707,7.1e-05,6.6e-05,6.7e-05,1.5e-05,0.000981,0.003876,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.00014,0.001596,0.000707,7.2e-05,5.5e-05,5.6e-05,1.6e-05,0.000978,0.003831,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000287,0.002891,0.000758,9e-05,0.000306,0.000149,6.1e-05,0.002218,0.00705,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000225,0.001741,0.000685,5.3e-05,9.9e-05,5.4e-05,2.7e-05,0.001073,0.004173,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.00022,0.001677,0.000683,6.4e-05,0.000107,7.5e-05,1.6e-05,0.000972,0.00399,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000177,0.001613,0.000683,6.9e-05,6.2e-05,7.4e-05,2.8e-05,0.001003,0.003907,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000168,0.001658,0.000683,5.7e-05,8.7e-05,7.5e-05,2.7e-05,0.000984,0.003916,64,0,64,5.6321095379e-09,0
