; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544803191,"CurrentTimeLocal","Fri Dec 14 07:59:51 2018","Hostname","nid01757","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 0.000208
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,0,0,"Warmup",0.000361,0.050359,0.046293,0.028264,0.138019,0.139427,0.028623,0.006158,0.437808,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,1,0,"Warmup",0.000356,0.050436,0.046413,0.027991,0.138518,0.138645,0.028243,0.006119,0.437007,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,2,0,"Success",0.00036,0.050373,0.046203,0.027624,0.138567,0.139216,0.028274,0.00618,0.437101,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,3,0,"Success",0.00037,0.050962,0.04632,0.02778,0.138748,0.139682,0.028343,0.006371,0.438947,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,4,0,"Success",0.000346,0.050588,0.046166,0.027805,0.138396,0.138618,0.02836,0.006117,0.436692,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,5,0,"Success",0.000332,0.050242,0.045979,0.02769,0.138219,0.138248,0.028773,0.006142,0.435946,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,6,0,"Success",0.000334,0.050644,0.046285,0.027941,0.138808,0.13898,0.028576,0.00617,0.438057,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,7,0,"Success",0.000353,0.050432,0.046215,0.02809,0.13891,0.138918,0.028459,0.006244,0.437922,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,8,0,"Success",0.000355,0.050309,0.046103,0.027752,0.138602,0.13873,0.028598,0.006196,0.436953,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,9,0,"Success",0.000331,0.050292,0.046207,0.027999,0.138767,0.139389,0.028425,0.006195,0.437927,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,10,0,"Success",0.000352,0.050441,0.046284,0.027758,0.144882,0.1398,0.028688,0.006347,0.44487,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",32767,0,0,11,0,"Success",0.000344,0.050728,0.046171,0.02799,0.138509,0.13862,0.02856,0.006089,0.437319,262136,0,262136,1.0910973682e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",65535,0,0,0,1,"Warmup",0.003726,0.070606,0.057353,0.202194,0.798187,0.768117,0.058116,0.007845,1.966626,524280,0,524280,1.2932565318e-07,0
