; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545072972,"CurrentTimeLocal","Mon Dec 17 10:56:12 2018","Hostname","nid01775","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,0,0,"Warmup",0.005827,0.141972,0.13644,0.73034,2.130246,2.07543,0.104412,0.348985,5.674406,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,1,0,"Warmup",0.005896,0.149675,0.137281,0.76189,2.055559,2.134492,0.104082,0.353089,5.702762,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,2,0,"Success",0.005786,0.142401,0.136376,0.761583,2.079404,2.080026,0.104353,0.356224,5.666685,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,3,0,"Success",0.005378,0.15107,0.140314,0.751265,2.108018,2.119772,0.104611,0.346708,5.727768,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,4,0,"Success",0.00579,0.141832,0.143801,0.7658,2.150666,2.07575,0.104457,0.352618,5.7413,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,5,0,"Success",0.006182,0.14218,0.136653,0.76299,2.081827,2.01884,0.10337,0.359121,5.612068,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,6,0,"Success",0.005907,0.142334,0.136418,0.767676,2.145598,2.083363,0.104863,0.356621,5.743381,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,7,0,"Success",0.005791,0.142192,0.136389,0.761089,2.07307,2.109807,0.095308,0.284206,5.608335,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,8,0,"Success",0.004707,0.092763,0.08859,0.627312,2.102838,2.095003,0.095284,0.271568,5.378523,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,9,0,"Success",0.004608,0.092376,0.088722,0.635281,2.108168,2.117525,0.095691,0.271036,5.41379,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,10,0,"Success",0.00457,0.092398,0.088783,0.622739,2.083379,2.092134,0.095301,0.274048,5.353759,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",131072,0,0,11,0,"Success",0.004477,0.092731,0.08853,0.626067,2.119101,2.098952,0.101595,0.273949,5.405869,1048576,0,1048576,2.4660365736e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,0,0,"Warmup",0.005571,0.251797,0.216477,0.327777,0.07823,0.082143,0.056181,0.162537,1.181239,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,1,0,"Warmup",0.005557,0.260139,0.233019,0.327832,0.080464,0.08353,0.056792,0.15308,1.200991,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,2,0,"Success",0.005739,0.240178,0.233114,0.328325,0.077858,0.083789,0.056974,0.147206,1.173753,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,3,0,"Success",0.005893,0.236717,0.237657,0.328318,0.079027,0.082684,0.057855,0.151226,1.180132,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,4,0,"Success",0.005561,0.280904,0.210469,0.327505,0.079053,0.083503,0.056901,0.149953,1.194514,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,5,0,"Success",0.005676,0.256024,0.217067,0.327394,0.079568,0.085196,0.05723,0.155099,1.183959,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,6,0,"Success",0.005722,0.254059,0.22194,0.328459,0.080873,0.083058,0.056805,0.158903,1.190505,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,7,0,"Success",0.005888,0.235059,0.238954,0.328226,0.079653,0.083632,0.0581,0.158127,1.188206,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,8,0,"Success",0.006053,0.227639,0.226391,0.335705,0.077411,0.083211,0.057142,0.16384,1.178074,524296,0,524288,0,0
"Fftw_mkl_gnuwrapper","Inplace","Real","float",1,"powerof2",131072,0,0,9,0,"Success",0.005604,0.231471,0.236558,0.387092,0.078589,0.081384,0.056449,0.174066,1.251887,524296,0,524288,0,0
