; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545139284,"CurrentTimeLocal","Tue Dec 18 05:21:24 2018","Hostname","nid01333","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,0,51,"Warmup",0.000488,0.008667,0.002619,0.00015,0.000723,0.000467,5.9e-05,0.001813,0.015284,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,1,51,"Warmup",0.000367,0.003423,0.001827,7.5e-05,0.000359,0.000249,2.9e-05,0.00156,0.008144,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,2,51,"Success",0.000312,0.003175,0.001822,7.5e-05,0.000285,0.000223,3.6e-05,0.001504,0.007676,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,3,51,"Success",0.00032,0.003201,0.00178,7.9e-05,0.00027,0.00023,3.6e-05,0.001533,0.007705,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,4,51,"Success",0.000287,0.003199,0.00172,7.5e-05,0.000258,0.000232,3.7e-05,0.001511,0.007561,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,5,51,"Success",0.000256,0.003109,0.001723,7.4e-05,0.000289,0.000232,3.6e-05,0.001512,0.007465,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,6,51,"Success",0.00031,0.003238,0.00176,7.8e-05,0.000267,0.000233,3.8e-05,0.001541,0.007708,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,7,51,"Success",0.000264,0.003193,0.001722,7.6e-05,0.000286,0.000226,3.5e-05,0.001516,0.007568,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,8,51,"Success",0.000291,0.003137,0.001825,8.2e-05,0.000272,0.000224,3.7e-05,0.001516,0.007634,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,9,51,"Success",0.000293,0.003077,0.001737,7.4e-05,0.000281,0.000223,3.6e-05,0.001537,0.007495,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,10,51,"Success",0.000362,0.003221,0.001737,7.7e-05,0.000262,0.00023,3.6e-05,0.001523,0.007708,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",19,0,0,11,51,"Success",0.000293,0.003126,0.001731,8.5e-05,0.000283,0.000232,3.6e-05,0.001515,0.00755,152,0,152,2.8119781172e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,0,52,"Warmup",0.000362,0.028589,0.023367,0.000373,0.011802,0.010083,0.000156,0.001958,0.076999,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,1,52,"Warmup",0.000338,0.024548,0.02177,0.000245,0.006672,0.006544,0.000121,0.001784,0.062282,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,2,52,"Success",0.000332,0.024209,0.021761,0.000262,0.006489,0.006346,0.000136,0.001755,0.061548,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,3,52,"Success",0.000297,0.024269,0.021463,0.000263,0.006405,0.006259,0.000113,0.001716,0.061043,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,4,52,"Success",0.000354,0.023777,0.021537,0.000246,0.006428,0.006232,0.000131,0.001728,0.060701,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,5,52,"Success",0.000325,0.023869,0.021581,0.000259,0.006384,0.00622,0.000114,0.001718,0.060707,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,6,52,"Success",0.000338,0.023787,0.021447,0.000262,0.006393,0.006232,0.000118,0.001676,0.060501,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,7,52,"Success",0.000327,0.023866,0.021475,0.000268,0.006379,0.006235,0.000114,0.001727,0.060625,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,8,52,"Success",0.000332,0.023733,0.021453,0.000258,0.006385,0.006232,0.000125,0.001688,0.060464,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,9,52,"Success",0.000338,0.023781,0.021521,0.00025,0.006367,0.006235,0.000121,0.001693,0.060563,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,10,52,"Success",0.000328,0.02386,0.021441,0.000265,0.006366,0.006239,0.000126,0.001719,0.060581,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",361,0,0,11,52,"Success",0.000329,0.023897,0.021417,0.000268,0.006385,0.00623,0.000121,0.001757,0.060653,2888,0,2888,6.5923544683e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,0,53,"Warmup",0.000358,0.052058,0.046272,0.004503,0.173187,0.140458,0.003204,0.009231,0.429567,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,1,53,"Warmup",0.00039,0.046972,0.045544,0.00448,0.13707,0.137925,0.003112,0.009707,0.385534,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,2,53,"Success",0.000323,0.045587,0.045199,0.004478,0.136433,0.1374,0.003058,0.008356,0.381134,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,3,53,"Success",0.00032,0.045862,0.044963,0.004475,0.136409,0.136366,0.003075,0.009475,0.381233,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,4,53,"Success",0.000366,0.046248,0.044815,0.004471,0.136442,0.137704,0.003113,0.00856,0.382013,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,5,53,"Success",0.000352,0.045082,0.045009,0.004464,0.136095,0.13767,0.003063,0.010236,0.382261,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,6,53,"Success",0.000352,0.04515,0.044839,0.004497,0.13684,0.138257,0.003079,0.008554,0.381822,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,7,53,"Success",0.000302,0.045404,0.053293,0.005601,0.136393,0.137038,0.003081,0.008589,0.39,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,8,53,"Success",0.000353,0.045496,0.044154,0.004522,0.135835,0.137386,0.003082,0.009396,0.380483,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,9,53,"Success",0.000301,0.045655,0.044532,0.00451,0.136422,0.137178,0.003065,0.008964,0.380874,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,10,53,"Success",0.000429,0.045208,0.044863,0.004539,0.134771,0.13808,0.003047,0.008754,0.379939,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",6859,0,0,11,53,"Success",0.000306,0.045499,0.044794,0.004454,0.136077,0.13631,0.003059,0.009581,0.380344,54872,0,54872,8.1706288978e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,0,54,"Warmup",0.000498,0.071705,0.066121,0.088077,0.528238,0.533331,0.127258,0.006407,1.422032,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.000364,0.068323,0.065501,0.104327,0.50705,0.549586,0.128204,0.0062,1.42994,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000369,0.068768,0.063916,0.104428,0.49174,0.527962,0.126998,0.005638,1.390151,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000446,0.067805,0.063089,0.104109,0.489521,0.526276,0.1267,0.005955,1.384249,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000387,0.068663,0.063819,0.104463,0.492596,0.528122,0.126958,0.005853,1.391217,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000352,0.067514,0.063656,0.104325,0.489236,0.526961,0.127052,0.006266,1.385702,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000395,0.068013,0.064067,0.103783,0.513042,0.531851,0.1275,0.006057,1.415076,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000356,0.067952,0.063894,0.104248,0.504736,0.528988,0.127455,0.00608,1.404039,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000373,0.067633,0.065353,0.104089,0.5017,0.547772,0.123805,0.005933,1.416995,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000353,0.068321,0.065611,0.102108,0.48987,0.526632,0.127392,0.006184,1.386776,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000382,0.06736,0.065132,0.104377,0.489961,0.528355,0.12776,0.005853,1.389517,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.000371,0.067308,0.064879,0.104017,0.522618,0.524392,0.126812,0.005713,1.416464,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.005081,0.569032,0.522997,13.971258,13.112059,18.315214,2.298424,5.755711,54.550296,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.006837,0.711478,0.671359,15.412373,15.475134,15.487638,2.345404,5.719131,55.82995,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.007126,0.711194,0.678105,15.477555,15.418216,15.773001,2.345785,5.723787,56.135503,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.007277,0.712779,0.671845,15.40779,15.977138,15.579726,2.340377,5.706712,56.404184,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.006987,0.711692,0.684156,15.400999,15.660158,15.303772,2.343819,5.720625,55.832971,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.007745,0.717915,0.675408,15.455945,15.65871,15.428531,2.302925,5.760935,56.008732,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.007378,0.705927,0.665284,15.427811,15.803695,15.426535,2.291027,5.786163,56.114442,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.007036,0.72793,0.668803,15.431323,15.869383,15.409264,2.267266,5.791007,56.172704,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.00715,0.710601,0.672437,15.416884,15.52245,15.51851,2.257976,5.734392,55.841144,19808792,0,19808792,1.1718578843e-07,0
